date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:46:51	378/378	---MCZ	200	added ('OK')	text/plain	date:Fri,%2006%20Oct%202023%2014:46:50%20GMT	https://waheedpsycho.wordpress.com/robots.txt		(from )
17:46:51	214769/214769	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Oct%202023%2014:46:50%20GMT	https://waheedpsycho.wordpress.com/	C:/My%20Web%20Sites/waheed/waheedpsycho.wordpress.com/index.html	(from )
17:46:52	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Fri,%2006%20Oct%202023%2014:46:52%20GMT	https://waheedpsycho.wordpress.com/xmlrpc.php	C:/My%20Web%20Sites/waheed/waheedpsycho.wordpress.com/xmlrpc.php	(from https://waheedpsycho.wordpress.com/)
17:46:52	12302/12302	---MCZ	200	added ('OK')	application/javascript	etag:W/12493-1684460897560.9631	https://s0.wp.com/wp-content/plugins/custom-fonts/js/webfont.js	C:/My%20Web%20Sites/waheed/s0.wp.com/wp-content/plugins/custom-fonts/js/webfont.js	(from https://waheedpsycho.wordpress.com/)
17:46:53	104889/104889	---MCZ	200	added ('OK')	text/css	etag:W/104945-1694041176065.5396	https://s0.wp.com/wp-content/plugins/gutenberg-core/v16.6.0/build/block-library/style-rtl.css?m=1694041159i&ver=16.6.0	C:/My%20Web%20Sites/waheed/s0.wp.com/wp-content/plugins/gutenberg-core/v16.6.0/build/block-library/style-rtlb731.css	(from https://waheedpsycho.wordpress.com/)
17:46:53	47553/47553	---MCZ	200	added ('OK')	application/rss+xml	date:Fri,%2006%20Oct%202023%2014:12:01%20GMT	https://waheedpsycho.wordpress.com/feed/	C:/My%20Web%20Sites/waheed/waheedpsycho.wordpress.com/feed/index.html	(from https://waheedpsycho.wordpress.com/)
17:46:53	5170/5170	---MCZ	200	added ('OK')	text/css	etag:W/8115-1684461127512.7102	https://s2.wp.com/wp-content/mu-plugins/global-print/rtl/global-print-rtl.css?m=1465851035i&cssminify=yes	C:/My%20Web%20Sites/waheed/s2.wp.com/wp-content/mu-plugins/global-print/rtl/global-print-rtlbcec.css	(from https://waheedpsycho.wordpress.com/)
17:46:53	1840/1840	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22a191b0e5bfe7d1d7ab9ded0337de7df2%22	https://waheedpsycho.wordpress.com/comments/feed/	C:/My%20Web%20Sites/waheed/waheedpsycho.wordpress.com/comments/feed/index.html	(from https://waheedpsycho.wordpress.com/)
17:46:53	2017/2017	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%226466d51e-7e1%22	https://s2.wp.com/wp-content/mu-plugins/jetpack-plugin/moon/modules/widgets/goodreads/css/goodreads-rtl.css?m=1685131895i&ver=12.7-a.6	C:/My%20Web%20Sites/waheed/s2.wp.com/wp-content/mu-plugins/jetpack-plugin/moon/modules/widgets/goodreads/css/goodreads-rtl3709.css	(from https://waheedpsycho.wordpress.com/)
17:46:54	369/369	---M--	200	added ('OK')	text/css	etag:%226466e652-171%22	https://s1.wp.com/_static/??/wp-content/mu-plugins/core-compat/wp-mediaelement.css,/wp-content/mu-plugins/wpcom-bbpress-premium-themes.css?m=1432920480j&cssminify=yes	C:/My%20Web%20Sites/waheed/s1.wp.com/_static/indexd02a.html	(from https://waheedpsycho.wordpress.com/)
17:46:54	522/522	---MCZ	200	added ('OK')	text/css	etag:W/%2262f6b6b8-20a%22	https://s1.wp.com/_static/??/wp-content/themes/h4/rtl/global-rtl.css,/wp-content/themes/h4/global-rtl.css?m=1420737423j&cssminify=yes	C:/My%20Web%20Sites/waheed/s1.wp.com/_static/indexdf4b.html	(from https://waheedpsycho.wordpress.com/)
17:46:54	885/885	---MCZ	200	added ('OK')	text/xml	date:Fri,%2006%20Oct%202023%2014:46:54%20GMT	https://waheedpsycho.wordpress.com/xmlrpc.php?rsd	C:/My%20Web%20Sites/waheed/waheedpsycho.wordpress.com/xmlrpc0db0.php	(from https://waheedpsycho.wordpress.com/)
17:46:54	4732/4732	---MCZ	200	added ('OK')	text/css	etag:W/%225c59dec2-17bd%22	https://s2.wp.com/wp-content/themes/pub/lodestar/rtl.css?m=1549393599	C:/My%20Web%20Sites/waheed/s2.wp.com/wp-content/themes/pub/lodestar/rtl5b6e.css	(from https://waheedpsycho.wordpress.com/)
17:46:55	1744/1744	---MCZ	200	added ('OK')	application/xml	date:Fri,%2006%20Oct%202023%2014:46:54%20GMT	https://waheedpsycho.wordpress.com/osd.xml	C:/My%20Web%20Sites/waheed/waheedpsycho.wordpress.com/osd.xml	(from https://waheedpsycho.wordpress.com/)
17:46:55	923/923	---M--	200	added ('OK')	image/jpeg	date:Sun,%2012%20Apr%202020%2001:35:24%20GMT	https://waheedpsycho.files.wordpress.com/2020/04/cropped-cropped-waheed.jpg?w=32	C:/My%20Web%20Sites/waheed/waheedpsycho.files.wordpress.com/2020/04/cropped-cropped-waheed76ca.jpg	(from https://waheedpsycho.wordpress.com/)
17:46:55	6137/6137	---M--	200	added ('OK')	image/jpeg	date:Sun,%2012%20Apr%202020%2001:35:24%20GMT	https://waheedpsycho.files.wordpress.com/2020/04/cropped-cropped-waheed.jpg?w=192	C:/My%20Web%20Sites/waheed/waheedpsycho.files.wordpress.com/2020/04/cropped-cropped-waheed9939.jpg	(from https://waheedpsycho.wordpress.com/)
17:46:55	5836/5836	---M--	200	added ('OK')	image/jpeg	date:Sun,%2012%20Apr%202020%2001:35:24%20GMT	https://waheedpsycho.files.wordpress.com/2020/04/cropped-cropped-waheed.jpg?w=180	C:/My%20Web%20Sites/waheed/waheedpsycho.files.wordpress.com/2020/04/cropped-cropped-waheedad83.jpg	(from https://waheedpsycho.wordpress.com/)
17:46:56	169244/169244	---M--	200	added ('OK')	image/jpeg	date:Tue,%2018%20Aug%202020%2020:23:08%20GMT	https://waheedpsycho.files.wordpress.com/2020/08/cropped-d8aad8b1d988d98ad8b3d8a9-1.jpg	C:/My%20Web%20Sites/waheed/waheedpsycho.files.wordpress.com/2020/08/cropped-d8aad8b1d988d98ad8b3d8a9-1.jpg	(from https://waheedpsycho.wordpress.com/)
17:46:56	27789/27789	---M--	200	added ('OK')	image/png	date:Tue,%2018%20Aug%202020%2020:48:24%20GMT	https://waheedpsycho.files.wordpress.com/2020/08/cropped-d8aad8b1d988d98ad8b3d8a9-3.png?w=971	C:/My%20Web%20Sites/waheed/waheedpsycho.files.wordpress.com/2020/08/cropped-d8aad8b1d988d98ad8b3d8a9-34df4.png	(from https://waheedpsycho.wordpress.com/)
17:46:57	150205/150205	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Oct%202023%2014:46:56%20GMT	https://waheedpsycho.wordpress.com/category/blog/	C:/My%20Web%20Sites/waheed/waheedpsycho.wordpress.com/category/blog/index.html	(from https://waheedpsycho.wordpress.com/)
17:46:58	150386/150386	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Oct%202023%2014:46:57%20GMT	https://waheedpsycho.wordpress.com/category/blog/a/	C:/My%20Web%20Sites/waheed/waheedpsycho.wordpress.com/category/blog/a/index.html	(from https://waheedpsycho.wordpress.com/)
17:46:58	151469/151469	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Oct%202023%2014:46:58%20GMT	https://waheedpsycho.wordpress.com/category/theories/psychopathology/abnormal-psychology/	C:/My%20Web%20Sites/waheed/waheedpsycho.wordpress.com/category/theories/psychopathology/abnormal-psychology/index.html	(from https://waheedpsycho.wordpress.com/)
